date,home_team,away_team,home_score,away_score,tournament
1946-01-19,England,Belgium,2,0,Friendly
1946-01-23,Brazil,Uruguay,4,3,Copa América
1946-02-02,Argentina,Uruguay,3,1,Copa América
1946-02-10,Argentina,Brazil,2,0,Copa América
1946-04-14,Portugal,France,2,1,Friendly
1946-05-12,Netherlands,Belgium,6,3,Friendly
1946-05-19,France,England,2,1,Friendly
1946-05-30,Belgium,Netherlands,2,2,Friendly
1946-11-27,England,Netherlands,8,2,Friendly
1947-01-26,Portugal,Spain,4,1,Friendly
1947-03-23,France,Portugal,1,0,Friendly
1947-03-29,Uruguay,Brazil,0,0,Copa Rio Branco
1947-04-01,Brazil,Uruguay,3,2,Copa Rio Branco
1947-04-07,Netherlands,Belgium,2,1,Friendly
1947-05-03,England,France,3,0,Friendly
1947-05-04,Belgium,Netherlands,1,2,Friendly
1947-05-25,Portugal,England,0,10,Friendly
1947-05-26,France,Netherlands,4,0,Friendly
1947-06-01,France,Belgium,4,2,Friendly
1947-07-13,Mexico,United States,5,0,NAFC Championship
1947-09-21,Belgium,England,2,5,Friendly
1947-11-23,Portugal,France,2,4,Friendly
1947-12-02,Colombia,Uruguay,0,2,Copa América
1947-12-18,Argentina,Colombia,6,0,Copa América
1947-12-28,Argentina,Uruguay,3,1,Copa América
1948-03-14,Belgium,Netherlands,1,1,Friendly
1948-03-21,Spain,Portugal,2,0,Friendly
1948-04-04,France,Italy,1,3,Friendly
1948-04-04,Uruguay,Brazil,1,1,Copa Rio Branco
1948-04-11,Uruguay,Brazil,4,2,Copa Rio Branco
1948-04-18,Netherlands,Belgium,2,2,Friendly
1948-05-16,Italy,England,0,4,Friendly
1948-06-06,Belgium,France,4,2,Friendly
1948-10-17,France,Belgium,3,3,Friendly
1948-11-21,Belgium,Netherlands,1,1,Friendly
1949-01-02,Spain,Belgium,1,1,Friendly
1949-02-27,Italy,Portugal,4,1,Friendly
1949-03-13,Netherlands,Belgium,3,3,Friendly
1949-03-20,Portugal,Spain,1,1,Friendly
1949-03-27,Spain,Italy,1,3,Friendly
1949-04-17,Brazil,Colombia,5,0,Copa América
1949-04-23,Netherlands,France,4,1,Friendly
1949-04-25,Uruguay,Colombia,2,2,Copa América
1949-04-30,Brazil,Uruguay,5,1,Copa América
1949-05-22,France,England,1,3,Friendly
1949-06-19,France,Spain,1,5,Friendly
1949-09-04,Mexico,United States,6,0,NAFC Championship
1949-09-18,Mexico,United States,6,2,FIFA World Cup qualification
1949-11-06,Netherlands,Belgium,0,1,Friendly
1949-11-30,England,Italy,2,0,Friendly
1950-03-05,Italy,Belgium,3,1,Friendly
1950-04-02,Spain,Portugal,5,1,FIFA World Cup qualification
1950-04-09,Portugal,Spain,2,2,FIFA World Cup qualification
1950-04-16,Belgium,Netherlands,2,0,Friendly
1950-05-06,Brazil,Uruguay,3,4,Copa Rio Branco
1950-05-14,Brazil,Uruguay,3,2,Copa Rio Branco
1950-05-14,Portugal,England,3,5,Friendly
1950-05-18,Belgium,England,1,4,Friendly
1950-06-04,Belgium,France,4,1,Friendly
1950-06-24,Brazil,Mexico,4,0,FIFA World Cup
1950-06-25,Spain,United States,3,1,FIFA World Cup
1950-06-29,England,United States,0,1,FIFA World Cup
1950-07-02,England,Spain,0,1,FIFA World Cup
1950-07-09,Spain,Uruguay,2,2,FIFA World Cup
1950-07-13,Brazil,Spain,6,1,FIFA World Cup
1950-07-16,Brazil,Uruguay,1,2,FIFA World Cup
1950-11-01,France,Belgium,3,3,Friendly
1950-11-12,Belgium,Netherlands,7,2,Friendly
1950-12-10,France,Netherlands,5,2,Friendly
1951-04-08,Portugal,Italy,1,4,Friendly
